INFO:root:Waypoint/> conf reading done, T_column 22
INFO:root:Waypoint/> _TaskSplitter done: [(0, [0, 1], ['.\\t01_data.star'], (29, 22, 13, 23, 25, 24)), (1, [1, 3], ['.\\t09_data.star', '.\\t11_data.star'], (29, 22, 13, 23, 25, 24))]
INFO:root:Waypoint/> process_21840 running...
INFO:root:Waypoint/process_21840/>file_list:['.\\t01_data.star'], row:100, col:1, header_length:29, CNC:22
INFO:root:Waypoint/> process_23520 running...
INFO:root:Waypoint/process_23520/>file_list:['.\\t09_data.star', '.\\t11_data.star'], row:100, col:2, header_length:29, CNC:22
INFO:root:closing-in/21840/>step_1, i = 0, j = 29, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 30, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 31, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 32, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 33, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 34, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 35, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 36, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 37, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 38, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 39, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 40, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 41, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 42, readin: 45
INFO:root:closing-in/21840/>step_1, i = 0, j = 43, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 44, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 45, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 46, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 47, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 48, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 49, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 50, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 51, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 52, readin: 18
INFO:root:closing-in/21840/>step_1, i = 0, j = 53, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 54, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 55, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 56, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 57, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 58, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 59, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 60, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 61, readin: 12
INFO:root:closing-in/21840/>step_1, i = 0, j = 62, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 63, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 64, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 65, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 66, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 67, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 68, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 69, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 70, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 71, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 72, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 73, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 74, readin: 31
INFO:root:closing-in/21840/>step_1, i = 0, j = 75, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 76, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 77, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 78, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 79, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 80, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 81, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 82, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 83, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 84, readin: 14
INFO:root:closing-in/23520/>step_1, i = 0, j = 29, readin: 19
INFO:root:closing-in/21840/>step_1, i = 0, j = 85, readin: 14
INFO:root:closing-in/23520/>step_1, i = 0, j = 30, readin: 13
INFO:root:closing-in/21840/>step_1, i = 0, j = 86, readin: 14
INFO:root:closing-in/23520/>step_1, i = 0, j = 31, readin: 6
INFO:root:closing-in/21840/>step_1, i = 0, j = 87, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 32, readin: 13
INFO:root:closing-in/21840/>step_1, i = 0, j = 88, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 33, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 89, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 34, readin: 7
INFO:root:closing-in/21840/>step_1, i = 0, j = 90, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 35, readin: 15
INFO:root:closing-in/21840/>step_1, i = 0, j = 91, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 36, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 92, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 37, readin: 6
INFO:root:closing-in/21840/>step_1, i = 0, j = 93, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 38, readin: 1
INFO:root:closing-in/21840/>step_1, i = 0, j = 94, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 39, readin: 6
